Name,url
Hugo Mallo,/player/194229/hugo-mallo/
Daniel Didavi,/player/193886/daniel-didavi/
Roberto Soriano,/player/193361/roberto-soriano/
André Schürrle,/player/193130/andr%C3%A9-sch%C3%BCrrle/
Maxime Gonalons,/player/193116/maxime-gonalons/
Alphonse Areola,/player/193105/alphonse-areola/
Roberto Pereyra,/player/193061/roberto-pereyra/
Kevin Vogt,/player/192641/kevin-vogt/
Alexandr Kokorin,/player/192086/alexandr-kokorin/
Maicon,/player/191687/maicon/
Eduardo Salvio,/player/190972/eduardo-salvio/
Daley Blind,/player/190815/daley-blind/
Stephan El Shaarawy,/player/190813/stephan-el-shaarawy/
Adem Ljajić,/player/190544/adem-ljaji%C4%87/
Iago Falqué,/player/190264/iago-falqu%C3%A9/
Salomón Rondón,/player/189250/salom%C3%B3n-rond%C3%B3n/
Kevin Trapp,/player/188943/kevin-trapp/
Marcel Schmelzer,/player/188802/marcel-schmelzer/
James McCarthy,/player/188253/james-mccarthy/
Alan Dzagoev,/player/187735/alan-dzagoev/
Fedor Smolov,/player/187491/fedor-smolov/
Danny Welbeck,/player/186146/danny-welbeck/
Luiz Gustavo,/player/185221/luiz-gustavo/
Mikel San José,/player/185132/mikel-san-jos%C3%A9/
Aleksandar Kolarov,/player/185103/aleksandar-kolarov/
Matteo Darmian,/player/184392/matteo-darmian/
Romain Thomas,/player/184190/romain-thomas/
Christian Benteke,/player/184111/christian-benteke/
Ibrahima Traoré,/player/183909/ibrahima-traor%C3%A9/
Sidnei,/player/182002/sidnei/
Simon Kjær,/player/179645/simon-kj%C3%A6r/
Jeremain Lens,/player/178416/jeremain-lens/
Eder,/player/178311/eder/
Kiko Casilla,/player/177644/kiko-casilla/
Nacho Monreal,/player/177604/nacho-monreal/
Sven Bender,/player/177458/sven-bender/
Augusto Fernández,/player/176915/augusto-fern%C3%A1ndez/
Marcus Berg,/player/176733/marcus-berg/
